Customer_ID,Gender,Age,Income,Relation_length,Contract_length,Start_channel,Email_list,Home_age,Home_label,Electricity_usage,Gas_usage,Province,Churn
63,0,44,5218,63,0,Online,1,14,C,2270,1212,Zuid-Holland,1
64,0,35,4739,31,0,Phone,1,31,D,2574,858,Limburg,1
65,0,32,3936,16,0,Online,1,3,B,1571,393,Limburg,0
66,1,43,1370,108,32,Online,1,19,F,2871,1083,Noord-Holland,1
67,0,37,2666,74,0,Online,1,15,D,2436,1185,Zuid-Holland,1
68,1,43,1597,67,20,Online,1,6,A,1929,840,Limburg,0
69,0,50,14857,96,26,Online,0,2,C,2035,1180,Utrecht,0
70,1,26,2592,21,3,Phone,0,14,F,2871,1699,Noord-Holland,1
71,0,47,4076,37,0,Online,1,42,E,2418,656,Groningen,1
72,1,42,8558,26,0,Online,1,23,D,1658,1183,Zuid-Holland,1
73,0,56,6514,72,8,Phone,0,12,G,2200,1958,Noord-Holland,1
74,1,42,1934,12,0,Online,1,13,E,1312,1156,Zuid-Holland,1
75,0,46,8891,21,0,Online,1,10,F,1625,947,Zuid-Holland,0
76,1,50,5749,48,35,Online,1,8,B,1864,641,Gelderland,0
77,0,31,4833,49,36,Online,1,69,G,3278,1690,Noord-Brabant,0
78,0,21,2419,32,7,Online,1,19,G,2754,999,Gelderland,1
79,0,40,3644,89,5,Online,1,14,C,1780,871,Utrecht,0
80,1,42,3425,31,12,Online,1,199,D,2366,769,Zuid-Holland,1
81,1,68,2152,37,0,Online,1,22,C,2345,934,Limburg,1
82,0,70,3903,12,3,Online,1,34,G,1891,1050,Friesland,1
83,0,52,2900,76,34,Online,1,9,B,1341,974,Zuid-Holland,0
84,1,31,7170,34,8,Online,1,19,C,2142,335,Limburg,0
85,0,24,6265,10,0,Online,1,41,C,1291,1146,Noord-Holland,0
86,1,38,1886,83,7,Online,0,35,F,3735,1049,Utrecht,1
87,0,70,1605,163,2,Online,1,52,C,2711,839,Zuid-Holland,1
88,0,28,3249,26,0,Online,1,73,F,2772,1679,Noord-Brabant,1
89,0,46,3414,7,6,Online,1,58,C,734,1063,Noord-Holland,1
90,1,34,4413,78,27,Online,1,9,B,2274,718,Zuid-Holland,0
91,0,37,7287,49,6,Online,1,194,G,2353,1569,Zuid-Holland,1
92,1,43,2209,79,0,Online,1,43,G,2641,1714,Zuid-Holland,1
93,0,45,3238,33,0,Phone,0,23,E,1582,1184,Overijssel,0
94,0,29,3520,19,0,Phone,1,0,A,1684,593,Zuid-Holland,1
95,0,42,10320,107,32,Online,1,36,G,2850,24290,Noord-Brabant,0
96,1,55,3494,91,5,Online,0,8,B,2792,941,Noord-Holland,0
97,0,25,6425,14,0,Phone,0,33,C,1746,928,Groningen,1
98,0,85,5352,35,0,Phone,1,152,C,2449,744,Gelderland,0
99,0,35,4300,27,6,Online,0,116,G,1860,1059,Limburg,0
100,1,46,5497,26,20,Online,1,67,D,2818,1543,Zuid-Holland,1
101,0,63,4596,21,24,Online,0,10,D,1799,907,Utrecht,0
102,1,28,1896,32,1,Online,1,71,E,2435,1711,Noord-Holland,1
103,0,51,11810,109,0,Phone,0,12,E,2436,2220,Overijssel,0
104,0,61,6808,101,3,Online,1,31,B,1635,618,Zuid-Holland,0
105,0,52,5548,60,0,Phone,0,60,D,1931,1103,Noord-Brabant,1
106,0,56,4582,138,24,Online,1,68,B,2170,1021,Limburg,1
107,0,56,3832,66,12,Online,1,16,B,2134,971,Noord-Brabant,0
108,0,58,2209,97,2,Online,1,30,G,2140,1167,Gelderland,0
109,0,55,4761,14,0,Online,1,26,D,2238,2003,Friesland,1
110,0,40,8259,90,25,Online,1,11,F,1426,1064,Friesland,0
111,1,42,4349,63,0,Online,0,34,D,2416,1184,Overijssel,0
112,0,41,5724,15,0,Online,1,84,G,2633,2161,Friesland,1
113,1,43,6864,114,0,Online,1,38,G,3311,1292,Limburg,1
114,0,37,3959,51,2,Online,1,31,D,2664,439,Noord-Holland,1
115,0,28,2154,21,1,Online,1,65,G,2113,1683,Zuid-Holland,1
116,1,37,8394,49,33,Online,1,36,C,1677,1264,Groningen,0
117,1,56,3524,88,11,Online,1,26,E,3052,1783,Noord-Brabant,0
118,0,35,3696,16,0,Online,1,31,B,2391,1441,Friesland,1
119,0,59,7208,110,2,Phone,0,9,C,2266,1042,Noord-Holland,0
120,1,61,3413,57,0,Online,1,54,G,1893,2437,Zuid-Holland,1
121,1,36,3948,40,24,Online,1,4,B,1615,964,Utrecht,1
122,1,52,15955,61,11,Online,1,16,D,1783,1267,Noord-Brabant,0
123,1,33,2512,17,6,Online,0,22,B,1695,777,Overijssel,0
124,1,28,2952,45,0,Online,1,45,D,2074,1019,Noord-Holland,1
125,0,42,6526,29,11,Online,1,37,B,2309,564,Utrecht,0
126,0,43,6397,18,0,Online,1,48,D,2522,1457,Utrecht,1
127,0,59,2699,89,9,Online,1,10,F,3571,1763,Zuid-Holland,0
128,1,39,2117,92,20,Online,1,8,C,2056,1079,Zuid-Holland,1
129,0,44,5144,44,0,Phone,0,27,F,2517,2235,Noord-Brabant,1
130,0,41,4436,91,21,Online,1,15,F,2423,2163,Zuid-Holland,1
131,1,60,4659,164,11,Phone,0,36,C,2558,1444,Limburg,0
132,1,39,10983,95,0,Online,1,77,E,2359,913,Zuid-Holland,1
133,0,46,8117,98,32,Online,1,46,D,2725,784,Zuid-Holland,0
134,0,85,6942,49,0,Phone,0,49,D,15190,783,Overijssel,0
135,1,35,5501,78,27,Online,1,4,A,1081,1061,Overijssel,0
136,0,46,5918,52,0,Phone,0,32,C,2487,1916,Drenthe,1
137,1,43,2595,14,21,Online,1,30,E,2268,1942,Noord-Brabant,1
138,1,35,4829,36,8,Online,1,64,G,2967,1368,Overijssel,1
139,1,48,123600,9,10,Online,0,14,G,2265,1531,Utrecht,1
140,1,38,3970,45,0,Online,1,44,G,2624,1405,Gelderland,1
141,1,47,4686,82,6,Online,1,36,D,2837,1540,Overijssel,0
142,1,59,8917,5,3,Online,1,16,E,1772,2035,Noord-Brabant,1
143,0,50,5433,48,2,Online,1,3,A,1659,0,Zuid-Holland,0
144,0,61,10453,67,0,Online,1,43,G,2502,950,Limburg,1
145,0,52,6477,78,8,Online,0,50,B,2498,926,Gelderland,0
146,1,39,3594,80,0,Phone,0,29,D,2549,1829,Zuid-Holland,1
147,1,42,1774,22,0,Online,1,25,G,2418,1764,Gelderland,1
148,1,41,4304,69,0,Phone,0,14,B,2039,1472,Noord-Holland,0
149,1,33,8013,66,25,Online,1,91,G,3244,1212,Limburg,1
150,1,27,2057,43,4,Online,1,39,C,1887,1539,Zeeland,0
151,0,70,8903,154,5,Online,1,32,F,2468,1860,Overijssel,1
152,0,49,5102,74,23,Online,0,24,C,2114,1321,Friesland,0
153,0,58,3097,108,21,Online,1,30,D,1312,711,Gelderland,0
154,1,40,5362,68,14,Online,1,32,C,2142,937,Limburg,0
155,0,71,2968,21,13,Phone,0,22,B,1989,671,Limburg,0
156,1,43,6348,90,15,Online,1,16,G,2926,1770,Noord-Holland,0
157,1,53,4187,99,0,Online,1,3,A,1838,502,Overijssel,0
158,1,44,2815,56,7,Online,1,43,E,2891,1768,Zuid-Holland,1
159,0,45,4224,76,0,Online,1,36,G,1930,1611,Gelderland,0
160,1,45,5710,101,0,Online,1,19,D,2600,1456,Noord-Holland,0
161,0,74,2551,7,35,Online,1,0,C,2365,947,Limburg,0
162,1,57,7470,95,4,Online,1,42,F,2716,2090,Zuid-Holland,0
163,0,31,6042,24,6,Online,1,8,A,1581,282,Zuid-Holland,0
164,0,43,2813,85,0,Online,1,70,D,2600,2061,Zuid-Holland,1
165,0,47,2404,57,0,Online,1,40,C,2493,1627,Zuid-Holland,1
166,1,34,3946,25,10,Online,1,49,E,2071,1409,Groningen,1
167,0,59,7716,4,0,Online,0,67,B,2278,690,Drenthe,1
168,0,75,2075,143,0,Online,1,22,D,3245,1391,Zuid-Holland,1
169,1,73,4162,56,35,Online,1,28,B,1589,584,Utrecht,0
170,0,61,4939,92,0,Online,1,4,B,2952,805,Flevoland,1
171,1,30,2303,23,25,Online,1,7,A,880,562,Gelderland,0
172,1,47,2673,118,0,Online,0,79,C,2268,725,Limburg,0
173,1,48,1833,47,0,Online,1,23,C,2047,1442,Limburg,1
174,0,44,9683,32,0,Online,1,29,F,1910,1819,Zuid-Holland,1
175,0,41,7996,40,0,Online,1,47,C,2873,668,Limburg,1
176,1,55,117240,40,0,Phone,0,34,D,3216,2212,Noord-Brabant,1
177,0,52,5952,45,14,Phone,0,36,C,2957,77,Zuid-Holland,0
178,1,34,4818,67,0,Online,1,8,C,1721,1435,Zuid-Holland,1
179,0,33,8517,16,0,Online,1,13,E,3603,1540,Noord-Brabant,1
180,0,33,1913,59,7,Online,0,62,E,2091,1267,Noord-Holland,0
181,0,46,10021,26,0,Online,1,19,B,2556,477,Gelderland,1
182,0,33,4710,5,15,Online,0,21,B,1845,964,Noord-Brabant,1
183,1,47,7955,39,22,Online,1,42,C,2766,889,Zeeland,0
184,0,58,5273,137,0,Online,1,148,F,2419,1296,Overijssel,0
185,1,38,3416,41,2,Online,1,36,C,2582,904,Noord-Brabant,1
186,0,44,11243,38,0,Online,1,45,G,2181,2526,Gelderland,0
187,1,63,2362,26,0,Online,1,43,F,2491,1220,Utrecht,1
188,1,56,3710,6,15,Online,1,20,C,2531,947,Zuid-Holland,1
189,0,36,3425,51,0,Phone,0,7,A,1547,0,Overijssel,0
190,1,74,2164,183,3,Phone,0,19,G,2160,2466,Noord-Holland,0
191,1,27,3397,38,0,Online,0,49,G,931,856,Zuid-Holland,1
192,1,60,3342,66,4,Online,1,23,C,2540,852,Noord-Holland,0
193,0,69,1714,142,16,Online,1,19,F,3121,1720,Noord-Holland,1
194,1,47,3049,33,6,Online,1,30,C,2261,1366,Noord-Brabant,0
195,1,42,6878,51,15,Online,1,16,B,2564,1049,Limburg,0
196,1,46,4930,8,9,Online,1,26,B,803,257,Gelderland,0
197,1,46,4684,102,0,Online,1,87,C,2375,1111,Noord-Holland,0
198,1,48,4181,45,19,Online,1,77,D,1167,784,Zuid-Holland,0
199,1,56,8870,126,31,Online,1,16,G,1785,1253,Zuid-Holland,0
200,1,103,5840,122,25,Phone,0,35,G,2533,2039,Drenthe,0
201,1,41,3596,37,0,Phone,0,5,B,2168,1271,Zuid-Holland,0
202,1,32,3969,14,12,Online,1,15,B,2722,1039,Gelderland,1
203,0,81,5698,13,0,Phone,0,72,C,2342,1009,Noord-Brabant,1
204,1,43,3103,76,11,Online,1,47,G,2733,1006,Drenthe,1
205,1,34,3765,74,7,Phone,0,98,F,2715,1390,Noord-Brabant,0
206,1,44,2457,97,6,Online,1,15,G,2963,565,Limburg,1
207,0,56,8907,139,0,Online,1,139,D,1002,1761,Overijssel,1
208,0,51,7875,4,14,Online,1,64,B,2134,873,Noord-Holland,1
209,0,26,4903,10,8,Online,1,23,B,2591,776,Noord-Brabant,1
210,1,29,2598,53,0,Online,1,3,C,2351,1133,Noord-Holland,1
211,1,65,7623,27,5,Online,1,29,G,2827,1767,Zuid-Holland,1
212,0,55,7939,12,0,Online,1,20,C,2244,681,Gelderland,1
213,0,50,4491,26,0,Online,1,29,G,2851,2127,Overijssel,1
214,1,57,6757,66,6,Online,1,24,E,27590,1113,Noord-Holland,1
215,1,72,1070,181,25,Phone,0,64,G,3547,1341,Noord-Holland,1
216,1,50,2593,136,0,Online,1,39,D,2331,1577,Noord-Brabant,1
217,1,47,2432,44,0,Online,1,65,F,2100,1614,Zuid-Holland,1
218,1,75,4697,87,31,Online,1,34,D,2137,1722,Zuid-Holland,0
219,0,45,4541,117,11,Online,1,26,F,2456,1660,Zeeland,0
220,1,55,4381,66,0,Online,1,15,E,2567,944,Noord-Brabant,0
221,0,43,2624,92,8,Phone,0,40,F,2611,759,Limburg,1
222,0,55,3837,62,0,Online,1,43,F,2246,1927,Friesland,1
223,0,50,6729,69,0,Online,1,5,A,2412,0,Noord-Brabant,0
224,0,30,2225,54,8,Online,1,107,F,2001,1269,Overijssel,1
225,0,53,5913,39,0,Phone,0,5,A,2185,0,Noord-Brabant,0
226,0,48,2149,64,0,Online,1,10,D,1960,1480,Zuid-Holland,1
227,1,41,5190,6,34,Online,1,47,E,2474,1919,Noord-Holland,1
228,0,37,3822,90,0,Online,1,49,C,2157,1460,Noord-Brabant,1
229,1,38,2863,12,0,Online,1,92,C,1892,982,Gelderland,1
230,0,57,6566,31,28,Phone,0,45,D,1790,1089,Noord-Holland,1
231,1,34,4457,4,9,Phone,0,63,C,2317,869,Noord-Holland,0
232,1,29,2959,9,8,Online,1,95,D,1661,999,Noord-Brabant,0
233,0,41,4613,16,9,Online,1,27,D,2173,1988,Noord-Holland,1
234,1,41,2761,26,3,Online,1,10,G,2300,617,Overijssel,1
235,1,78,3831,172,0,Phone,0,22,C,2721,1092,Zuid-Holland,0
236,0,43,5441,106,0,Online,1,10,E,2436,1235,Flevoland,1
237,1,30,4348,45,3,Online,0,85,C,2174,21950,Gelderland,0
238,0,61,7168,86,12,Online,1,28,B,2134,770,Noord-Brabant,0
239,0,48,5080,23,0,Online,1,49,C,1908,1001,Zuid-Holland,0
240,1,33,4754,26,5,Online,1,43,F,2241,1677,Zuid-Holland,1
241,0,47,5878,54,27,Online,1,6,B,1436,774,Limburg,0
242,0,55,3069,11,0,Online,1,37,G,1870,1659,Zuid-Holland,1
243,0,48,9314,44,0,Online,1,39,E,2123,1566,Gelderland,1
244,1,30,3741,32,34,Online,1,6,A,1355,0,Friesland,0
245,1,47,2792,59,0,Online,1,36,D,2193,1576,Noord-Brabant,1
246,0,36,7113,18,7,Online,1,68,E,3418,437,Utrecht,1
247,1,58,4804,91,33,Online,1,20,F,2872,1455,Gelderland,0
248,1,46,3717,21,0,Phone,0,17,C,1903,392,Noord-Holland,0
249,1,71,2419,40,0,Online,1,25,D,3099,376,Overijssel,1
250,1,42,8811,47,19,Online,0,30,F,2651,1509,Zuid-Holland,1
251,1,53,3901,30,0,Online,1,49,D,2368,1654,Utrecht,1
252,1,63,5059,10,0,Online,1,24,E,3134,1146,Zuid-Holland,1
253,0,44,9299,97,33,Online,1,125,D,2518,1804,Noord-Brabant,0
254,0,72,3514,10,25,Online,1,10,D,2082,986,Limburg,0
255,0,47,6586,102,0,Online,1,14,F,2105,1208,Zuid-Holland,1
256,1,35,3437,20,0,Online,1,23,E,2960,1622,Gelderland,1
257,0,29,7670,42,7,Online,1,21,C,2160,1115,Friesland,0
258,0,63,3819,87,27,Phone,0,33,B,2277,723,Gelderland,0
259,1,64,9983,90,2,Online,0,67,D,1762,1367,Gelderland,0
260,1,67,2375,29,12,Online,1,40,F,2569,1387,Noord-Brabant,1
261,1,52,7477,30,2,Online,1,15,G,2834,1971,Gelderland,1
262,0,40,5589,41,0,Online,1,55,G,2042,1550,Flevoland,1
263,1,40,1932,59,0,Online,1,51,G,2220,1228,Limburg,1
264,0,62,3845,37,0,Phone,0,65,G,3215,904,Noord-Brabant,0
265,0,37,4323,17,5,Online,1,51,D,2717,1741,Groningen,0
266,0,52,4078,139,0,Online,0,9,B,3133,375,Gelderland,1
267,1,62,3211,80,2,Online,0,33,C,2174,1486,Groningen,0
268,0,38,4518,7,32,Online,1,37,C,2177,1050,Noord-Holland,1
269,0,64,3634,8,0,Online,1,20,D,2669,1173,Overijssel,1
270,1,62,1845,72,0,Online,0,34,D,2069,1428,Flevoland,1
271,0,84,6536,43,0,Phone,0,31,F,2254,1527,Overijssel,1
272,1,33,8684,68,3,Online,1,88,B,1745,848,Zuid-Holland,0
273,0,39,4567,3,1,Online,1,10,D,1323,1362,Noord-Brabant,0
274,1,29,4732,20,0,Online,1,49,C,2429,641,Zuid-Holland,1
275,0,44,5664,54,0,Online,1,7,B,1721,1014,Gelderland,1
276,1,34,2855,18,12,Online,1,43,C,2136,1157,Limburg,1
277,1,47,3447,96,11,Online,0,29,D,2567,1961,Noord-Brabant,0
278,1,34,2767,31,5,Online,1,48,F,3205,1148,Noord-Holland,0
279,0,49,2016,25,5,Phone,1,23,D,1104,1033,Limburg,1
280,0,68,3106,34,2,Online,1,24,G,3370,985,Zuid-Holland,1
281,0,57,3034,156,22,Online,1,9,B,1812,1365,Gelderland,0
282,0,40,4101,36,0,Phone,0,43,F,1925,559,Gelderland,0
283,1,75,2517,52,26,Online,1,41,E,2123,2090,Zuid-Holland,0
284,1,32,3130,25,2,Phone,0,0,C,1689,824,Drenthe,0
285,1,73,3269,174,30,Online,1,15,D,1469,1169,Noord-Brabant,0
286,0,41,12642,30,22,Online,1,50,G,2989,1793,Utrecht,1
287,0,66,9907,112,5,Online,1,22,E,2079,1995,Overijssel,0
288,0,34,3723,36,0,Phone,1,37,B,1879,1235,Zuid-Holland,1
289,1,54,1997,112,15,Online,1,43,G,2096,2145,Noord-Brabant,1
290,1,49,5073,110,15,Online,1,22,E,3056,918,Gelderland,0
291,1,34,6412,53,0,Online,1,21,E,3467,1511,Noord-Holland,1
292,0,53,4444,59,9,Online,1,21,F,3526,1710,Friesland,1
293,1,64,1329,155,0,Online,1,18,D,2502,689,Overijssel,1
294,0,54,4892,134,29,Online,1,38,E,2748,2487,Noord-Holland,1
295,1,30,2177,47,9,Online,1,99,E,1858,1303,Overijssel,1
296,1,64,7173,124,0,Phone,0,17,G,903,1539,Limburg,0
297,1,37,7422,0,9,Online,1,22,G,2455,1578,Utrecht,1
298,0,52,3933,94,6,Online,1,36,E,2138,1044,Limburg,0
299,1,46,3683,29,30,Online,0,14,D,2094,2325,Noord-Holland,1
300,0,50,8607,19,26,Online,1,30,D,1618,1666,Noord-Holland,0
301,0,43,3754,73,9,Online,1,36,F,3881,1517,Overijssel,0
302,1,56,8805,70,0,Online,1,16,E,2878,1647,Overijssel,0
303,1,58,6201,157,11,Online,0,12,D,2012,1593,Noord-Holland,0
304,0,35,4221,27,0,Online,1,18,G,2289,1757,Zuid-Holland,1
305,1,22,2345,0,16,Online,1,49,E,3042,1621,Zuid-Holland,1
306,0,60,4461,42,10,Online,1,87,G,2981,2048,Overijssel,1
307,0,40,7587,35,4,Online,1,6,B,2569,533,Noord-Brabant,1
308,1,47,2494,118,0,Online,1,40,C,2034,559,Limburg,1
309,1,71,4283,32,34,Online,1,29,B,2168,1013,Groningen,0
310,1,49,4999,30,11,Online,1,71,E,1851,1266,Overijssel,0
311,1,39,8073,13,7,Online,1,7,A,1836,795,Zeeland,0
312,1,38,5872,13,4,Online,1,27,D,2007,1050,Noord-Holland,0
313,0,37,4829,16,23,Online,1,31,G,3043,2548,Noord-Brabant,1
314,0,64,4729,77,16,Online,1,41,C,3078,1071,Noord-Holland,0
315,0,45,5809,33,9,Online,1,40,D,1783,1662,Noord-Brabant,1
316,0,48,5928,82,0,Online,1,31,G,2429,685,Utrecht,1
317,0,53,6251,144,0,Online,1,48,G,2576,1160,Noord-Brabant,0
318,0,39,2192,99,0,Online,1,38,B,2080,886,Groningen,0
319,0,27,3721,33,15,Online,1,49,D,2376,1101,Zuid-Holland,0
320,1,53,3244,14,34,Online,1,58,F,2595,2401,Zuid-Holland,1
321,0,41,7481,80,0,Online,1,11,G,2317,880,Zuid-Holland,0
322,1,43,3451,68,2,Online,1,25,E,1857,1126,Noord-Brabant,0
323,0,41,5233,51,29,Online,1,30,G,2636,458,Utrecht,1
324,0,73,2116,160,2,Online,1,33,E,2841,1934,Overijssel,1
325,0,41,2511,40,0,Online,1,47,E,3377,1390,Noord-Brabant,1
326,0,40,10042,47,21,Phone,1,27,D,1213,2001,Zuid-Holland,0
327,0,32,3754,16,24,Online,1,15,C,2689,652,Overijssel,1
328,0,27,4434,37,0,Online,1,4,A,1977,713,Friesland,0
329,1,52,9984,44,0,Online,1,8,C,2518,1691,Gelderland,1
330,1,31,9955,2,3,Online,0,42,C,1703,948,Zuid-Holland,0
331,1,69,3345,14,1,Online,1,49,E,3465,996,Noord-Holland,1
332,1,46,4864,115,7,Phone,0,35,C,1870,952,Noord-Brabant,0
333,1,48,3813,89,0,Phone,0,21,D,2296,1361,Friesland,1
334,0,35,5641,36,2,Online,1,4,B,1760,417,Gelderland,0
335,0,47,8468,65,0,Online,1,12,C,2638,1023,Gelderland,1
336,0,51,9028,47,0,Online,1,142,G,2330,1177,Gelderland,1
337,0,47,3339,110,0,Online,1,68,B,2197,427,Zuid-Holland,0
338,0,46,9556,70,0,Online,1,31,G,2455,1663,Noord-Brabant,1
339,1,37,2699,49,9,Online,0,3,B,2518,532,Gelderland,0
340,0,31,5102,29,12,Online,1,35,D,2400,1300,Zeeland,1
341,1,49,3325,76,0,Online,1,94,G,2031,1774,Noord-Brabant,1
342,0,89,3061,40,8,Phone,0,87,G,1999,1949,Zuid-Holland,0
343,1,54,6467,62,24,Online,1,121,C,1771,591,Noord-Holland,0
344,1,74,2704,12,5,Online,1,6,B,2242,1014,Limburg,1
345,0,32,4528,35,12,Online,0,28,G,2421,1513,Groningen,0
346,0,36,10504,60,0,Online,1,17,D,2395,1501,Noord-Holland,0
347,0,56,5625,138,0,Online,1,50,D,2398,1300,Friesland,1
348,1,66,2770,82,7,Online,1,14,C,1714,920,Noord-Brabant,1
349,1,45,6370,16,0,Online,1,38,G,2725,1717,Gelderland,1
350,0,51,12030,79,0,Online,1,13,G,2909,733,Utrecht,0
351,0,75,3166,150,0,Phone,1,31,B,2190,685,Noord-Holland,0
352,1,30,1690,55,32,Online,1,31,D,2157,566,Gelderland,1
353,0,57,8047,94,0,Online,1,36,E,2004,199,Flevoland,0
354,1,50,2987,23,7,Online,1,50,G,2742,1943,Noord-Holland,1
355,1,44,6028,79,34,Online,0,10,C,1770,779,Friesland,0
356,1,52,1423,22,15,Online,1,8,B,2716,860,Overijssel,1
357,1,29,3645,31,0,Phone,1,48,D,2631,860,Zuid-Holland,0
358,1,45,6063,72,0,Phone,0,46,D,2884,1338,Noord-Holland,1
359,0,52,5361,72,0,Online,1,36,C,1551,1003,Friesland,1
360,1,67,4111,171,3,Online,1,23,E,1913,997,Zuid-Holland,0
361,0,41,8138,40,0,Online,1,1,A,1976,785,Utrecht,1
362,1,59,4676,76,30,Online,1,31,B,1575,855,Gelderland,0
363,0,30,5460,24,4,Online,1,38,D,1894,719,Zuid-Holland,0
364,0,39,10751,61,11,Online,1,90,C,2598,1040,Overijssel,0
365,1,50,4066,113,0,Online,1,14,D,2258,1201,Overijssel,1
366,1,47,5183,48,2,Online,1,42,F,3945,1137,Noord-Holland,0
367,1,54,5175,86,14,Online,1,181,F,2501,1555,Noord-Holland,0
368,0,36,10006,40,0,Online,1,29,E,3660,1124,Limburg,1
369,1,36,6263,81,9,Phone,1,46,B,2023,1002,Zuid-Holland,1
370,1,54,4129,39,0,Online,1,9,A,1991,937,Noord-Brabant,0
371,1,62,6124,46,4,Online,1,43,G,1893,1165,Limburg,0
372,0,53,8751,26,21,Online,1,97,E,1971,1369,Utrecht,0
373,1,36,2608,3,12,Online,1,5,A,1382,0,Noord-Brabant,0
374,0,32,3158,1,0,Online,1,33,D,2461,1716,Noord-Holland,1
